hit_distance_sc,launch_speed,launch_angle
418,107.1,25
371,108.3,43
403,107.3,23
400,101.6,32
411,102.1,26
408,103.3,30
451,112.4,28
363,101.8,29
366,102,27
386,100.2,38
417,106.5,32
385,100.7,30
397,106.6,37
395,100,31
380,103,33
386,98.6,27
403,103.4,34
366,97.4,23
454,111.5,25
376,105.5,21
443,109.3,33
387,97,30
429,104,34
416,105.8,21
388,103.1,37
406,103.2,29
402,103.7,25
389,105.2,30
389,101.7,31
422,108.6,27
413,105.6,31
418,105.8,24
395,105.3,29
398,111.3,15
461,111.1,25
429,106.3,32
385,105.2,27
381,102.2,27
368,99.3,28
408,104.6,27
417,109.3,32
380,98.7,28
403,103.4,31
391,104.6,21
372,95.5,27
445,110.1,24
367,101.5,41
409,100.2,29
408,110.9,25
411,107.3,31
386,102.6,24
421,105.6,23
390,101.5,31
392,102.9,26
396,104.3,22
380,100.9,32
381,99.7,36
410,104.4,35
387,107.9,27
433,110.4,24
394,104.3,34
420,109.6,23
420,103.7,32
408,104.2,25
402,102.9,31
460,106.1,27
409,104.4,30
406,103.6,26
361,106.7,22
443,108.9,29
405,103.3,26
395,102,30
392,104.6,29
372,103.6,38
380,100.5,27
360,99.4,36
442,106.4,31
424,102.7,25
422,106.8,25
374,100.3,29
405,103,24
373,100.3,35
361,97.9,24
419,111.2,26
415,107.4,33
419,107.5,31
402,104.3,29
439,107.7,24
387,106.8,21
396,103.1,32
368,96.6,38
372,98.5,26
418,107.2,25
410,104.5,34
431,106.7,34
416,107.4,31
401,100.4,28
423,103.9,33
410,108.1,22
364,100,27
403,106,29
361,103.3,30
403,101.4,27
422,106.4,28
408,105,30
440,107.1,30
399,107,38
392,110.8,24
422,102.6,33
401,103.9,34
404,104.6,27
348,89,31
390,98.3,39
408,101.6,28
421,103.9,27
437,106.5,36
372,101.9,30
390,97.6,35
442,108.5,25
397,103.7,26
378,108.3,22
393,98.6,23
390,100.4,22
369,99.1,22
409,105.6,25
411,108.3,21
429,113.8,31
362,98.7,34
399,101.3,27
404,112,19
442,110.4,27
360,95,31
429,108.7,24
396,101.6,31
356,99.6,40
384,101.3,30
439,106.9,33
364,111.2,21
396,102.7,26
386,102.7,17
411,105.1,34
431,109.3,22
367,98.2,31
372,100.3,37
380,99,25
382,98.9,30
430,100.3,35
437,105,26
385,103.1,34
398,103.3,23
392,102.1,32
379,103.6,25
411,104.3,22
343,97.5,39
408,102.6,30
407,102.7,37
383,97.8,26
403,105.2,21
376,98.4,32
422,108.6,26
400,105.6,32
431,106.5,28
403,106.8,28
395,105,25
439,107.2,32
404,109.4,20
405,108.8,32
382,102.1,37
412,102.7,36
387,108.6,20
403,103.4,28
394,114.6,23
357,109.7,24
399,101.2,32
412,105.6,28
394,106.7,28
403,104.1,29
391,102.8,26
412,101.7,32
414,109.3,24
384,99.6,31
382,98.5,26
412,105.2,32
411,106.1,22
359,94.4,26
393,101.8,33
389,102.6,34
439,107.1,33
426,103,27
410,103.3,27
416,104.2,24
373,102.7,26
400,105.4,27
396,106.4,22
356,101.5,25
372,96.3,31
448,107.1,32
412,105.4,26
409,107.7,34
385,98.6,29
395,107.9,33
404,106.7,29
426,108.9,32
432,107.7,26
407,106.2,20
428,106.1,25
421,106.7,27
416,106.3,25
384,102.5,37
358,97.6,26
347,101.7,29
403,102,31
358,95.9,36
401,100,28
424,102.1,27
450,111,22
378,108.4,24
387,103.6,30
495,110.4,33
367,96.9,33
333,93.7,35
415,104.6,29
449,107.7,23
415,104.2,28
390,103.6,37
379,100.8,35
401,101.7,33
426,107.6,28
421,107.5,30
415,110.9,24
426,109.1,28
399,109.4,24
415,107,22
381,101.9,33
395,98,31
399,102.3,34
405,102,28
409,105.6,32
434,105.2,29
426,107.1,26
408,106,35
423,107.7,23
378,103,23
367,98.5,25
418,104.1,30
406,104.2,30
441,104.3,26
399,103.4,38
377,103.8,35
392,102.7,34
406,105.9,39
421,108.6,22
370,97.2,24
414,103.5,30
421,101.5,27
405,102.9,35
405,104.7,32
402,102.4,28
355,95.5,38
409,100.9,29
387,102.8,34
431,109.6,21
410,105.1,23
437,107.4,32
395,105.7,19
452,110.9,32
397,101.3,27
395,101.2,26
351,105.7,23
367,98.2,38
422,108.7,28
389,99.8,23
354,98.3,20
385,102.8,26
377,105.8,27
406,103.9,37
398,101.3,25
379,101.1,35
384,96.2,27
419,105.4,22
428,106.6,26
408,105,31
384,97.9,32
395,100.6,30
405,103.3,31
420,102,31
420,107.8,23
420,106.2,30
382,104.3,26
393,100.8,31
379,104.2,32
394,103.1,31
376,104.1,24
424,101.4,29
406,105.8,29
374,101.4,33
368,107.8,18
404,99.7,32
360,100.2,27
441,109.4,31
407,109.2,22
421,102.4,24
364,108.6,22
389,98.4,33
415,105.1,33
378,103.8,30
437,106.9,28
434,107.9,24
454,112.4,26
418,109.2,25
423,102.2,28
400,99.3,27
377,100.6,35
362,107.3,47
415,105.6,27
437,110.1,22
410,107.2,28
407,101.7,34
370,99.9,31
382,104.7,23
407,101.4,24
409,106.6,26
409,104.2,26
365,107.9,23
364,98.5,29
391,108.6,34
431,106.2,32
432,113.5,31
